model_or_workflow,reported_setup,reported_best_cv,local_or_archived_value,delta,match_status,reported_best_params,local_detail,evidence_source
Logistic Regression,"3-fold random search, 5 trials",0.7866,0.7899452397508858,0.0033452397508858533,same_protocol_rerun_not_exact_random_search_match,C=0.01; max_iter=1000; penalty=l2; solver=lbfgs,lr_C0.1,rerun_3fold_candidate_cv
Random Forest,"3-fold random search, 5 trials",0.8069,0.8093869505899942,0.0024869505899942634,same_protocol_rerun_not_exact_random_search_match,max_depth=14; max_features=sqrt; min_samples_leaf=2; min_samples_split=10; n_estimators=200,rf_report_best,rerun_3fold_candidate_cv
Random Forest 5-fold package,"Project-side RF package: StratifiedKFold 5-fold, RandomizedSearchCV n_iter=90, OOF threshold",0.8155994179425367,0.81514,-0.000459417942536751,separate_project_side_workflow,"n_estimators=2600; max_depth=16; max_features=0.5; threshold=0.51","package OOF threshold accuracy=0.8157137927067756; current-env fixed-params CV=0.81514",rf_local_package_2026-05-29
XGBoost,Dedicated XGBoost validation and submission workflow,0.8223,0.8222707925917405,-2.9207408259512846e-05,rounded_match,"Tracked separately through XGBoost ablation, Optuna, bagging, and submission-selection evidence",archived fusion summary csv,copied_archived_xgb_workflow_evidence
LightGBM top-feature,"5-fold top-feature refit, selected top-30 run",0.8177,0.8176693891636949,-3.0610836305067224e-05,rounded_match,threshold=0.500; final_n_estimators=350; selected_features=30,rerun top-30 workflow,rerun_lightgbm_top_feature
CatBoost,"3-fold random search, 5 trials",0.8138,0.8155991630125291,0.001799163012529137,same_protocol_rerun_not_exact_random_search_match,depth=6; iterations=800; l2_leaf_reg=1; learning_rate=0.05,cat_lr0.03_l2_5,rerun_3fold_candidate_cv
