feature,gain,weight,cover
num__IsZeroSpend,605.5183349609375,5.8,1074.955615234375
num__SpendCount,82.94198303222656,102.4,315.5777557373047
cat__HomePlanet_Earth,31.244507217407225,74.8,251.0930389404297
cat__CryoSleep_False,30.833083724975587,75.0,326.3579986572266
cat__CryoSleep_True,23.137945938110352,60.6,436.93853759765625
cat__HomePlanet_Europa,17.064071083068846,54.2,368.4593078613281
cat__Deck_E,11.293001747131347,107.8,161.0825958251953
num__LuxuryShare,9.91855239868164,479.8,198.95313110351563
num__RoomService,9.84592342376709,506.6,269.95783081054685
cat__Deck_G,8.12092456817627,85.4,202.7736846923828
cat__CabinNumBin_CabinBin_4,7.507416915893555,124.4,191.10426330566406
cat__HomePlanetDestination_Mars_TRAPPIST-1e,6.869121551513672,58.6,138.46221160888672
cat__HomePlanetDestination_Earth_TRAPPIST-1e,6.561607742309571,78.6,117.15901031494141
cat__Deck_F,6.059480285644531,86.4,120.46534729003906
num__LuxurySpend,5.924439716339111,462.0,225.9755859375
cat__Side_P,5.8559001922607425,174.6,95.29229736328125
cat__DeckSide_C_S,5.604974842071533,120.6,375.8814636230469
cat__HomePlanetDestination_Earth_PSO J318.5-22,5.589260053634644,14.2,150.03440551757814
cat__Side_S,5.269060897827148,102.4,95.47911529541015
num__TotalSpend,5.066854858398438,568.8,146.4898254394531
cat__AgeGroup_Child,5.006810235977173,13.4,115.60440216064453
cat__HomePlanet_Mars,4.9493138790130615,51.6,101.68501586914063
num__FoodCourt,4.7558979988098145,428.2,189.98928527832032
cat__HomePlanetDestination_Europa_TRAPPIST-1e,4.440562391281128,14.0,113.52111358642578
cat__Deck_C,4.276716184616089,24.8,263.6170486450195
cat__DeckSide_B_S,4.236918163299561,55.6,614.29306640625
cat__DeckSide_E_P,4.2134052276611325,35.6,238.17886962890626
cat__DeckSide_G_P,4.209959697723389,52.4,194.1323486328125
cat__Deck_B,4.176363277435303,11.4,152.55286254882813
cat__DeckSide_G_S,4.158957624435425,64.4,146.50346832275392
num__BasicSpend,4.124666357040406,417.8,150.97101745605468
cat__HomePlanetDestination_Europa_55 Cancri e,3.8057487487792967,18.8,486.8524169921875
cat__AgeGroup_Teen,3.4165719032287596,50.0,196.53284606933593
num__SpendPerActiveCategory,3.3944011688232423,537.0,154.07951965332032
