,feature,gain,gain,weight,weight,cover,cover
,,mean,std,mean,std,mean,std
0,Age,5.128045320510864,0.45424946321480986,210.35,38.54622962342514,225.87324218749998,14.715559508798732
1,AgeGroup,5.594881858144488,0.8479212721592038,112.11428571428571,61.52961584776574,167.82047631399973,9.484959732659542
2,AgeMissing,2.702774437268575,0.4803856771249325,3.8000000000000003,1.3073220372543672,392.8941511789958,80.38316100669861
3,AgeWasOutOfRange,0.0,0.0,0.0,0.0,0.0,0.0
4,BasicSpend,8.23298272352952,2.387932193764621,99.43076923076923,124.06207709997031,151.12090512789212,29.244510437502964
5,CabinMissing,0.7794112165768942,1.1396493581059384,0.31666666666666665,0.5556868531717111,24.693925229708356,52.70934063889251
6,CabinNum,5.9538287943059744,0.3164440319187518,337.56363636363636,35.02968092139214,200.76754843971946,7.040751371626185
7,CabinNumBin,8.399599238003002,1.8095022362429676,212.16470588235296,107.81382646242821,230.3505442899816,9.804643131288334
8,CryoSleep,36.788247754838736,10.840688418697061,77.87777777777778,18.9926473561421,449.3946902804904,55.759930915410614
9,CryoSleepMissing,3.859826548894246,0.3504192056228046,11.333333333333334,2.451468329327746,382.66212170918783,54.78526387307273
10,CryoSleepSpendAnomaly,0.0,0.0,0.0,0.0,0.0,0.0
11,Deck,19.983549263898066,3.701775041619179,155.54117647058823,53.884170435568656,205.3475758272059,13.136805825167851
12,DeckSide,11.061975344489602,1.5867324250292674,447.08235294117645,131.90894698282466,295.75484367819394,16.771204803271345
13,Destination,6.2103563467661544,0.8620556814385293,37.699999999999996,16.519410070910798,183.14144808451337,39.436020138756305
14,DestinationMissing,3.1481335520744325,0.995475979055454,2.8666666666666667,1.8435801796471663,251.23349914550784,72.07856647064294
15,FoodCourt,9.159119661649068,2.414538270865817,117.63333333333333,33.89736737788814,210.52907994588216,22.30775850440429
16,FoodCourtMissing,4.424160818258922,0.3986828246681016,8.65,1.3568010505999364,360.5818347930908,47.87745051544653
17,GroupMemberIsLeader,3.430686048666636,0.5499279668842213,5.066666666666666,2.7952340390982164,198.42898511886597,52.91926193903089
18,GroupMemberNo,3.589637652310458,0.12728571267022062,33.36363636363637,8.305091537999171,199.7641095941717,40.85704168466235
19,GroupSize,4.316497513226101,0.37190879174287467,82.18571428571428,42.647352828712634,196.17786124093192,12.702773871626516
20,HasAnyLuxurySpend,2.0385265270868937,0.8486482670854993,0.6666666666666666,0.43762444117662297,26.008012700080872,19.78036666748468
21,HomePlanet,17.9759655157725,5.409097580820039,71.51666666666667,18.72508445585193,236.92624308268228,43.2200436250302
22,HomePlanetDestination,10.008016855066472,2.1101403012425455,206.43636363636367,26.388000027560736,265.37911793101915,18.42075659986231
23,HomePlanetMissing,4.020967710018158,0.6414617350113827,4.966666666666667,1.8147543451754933,281.78243395487465,62.41183000573515
24,IsChild,6.185929839951652,1.243851199132729,7.914285714285714,9.803520336542938,106.4675232206072,32.63866530510536
25,IsMultiPassengerGroup,2.5954892941883636,1.1016085515307468,2.2,2.202096902779432,56.89008414404733,47.50630669468542
26,IsSenior,1.4511317219052997,0.7385636449117079,1.6714285714285715,2.7984689691737823,115.53126574925014,75.47328579851862
27,IsSolo,3.4548935736928668,0.6482295193127326,7.214285714285714,6.315043960241309,71.90318769046239,42.450958092348046
28,IsZeroSpend,438.5551563936121,141.85820049371506,14.188235294117646,8.759700505221426,907.2184003044576,161.61240431134212
29,LuxuryMinusBasic,16.642063935597736,2.728077367302029,142.43333333333334,20.584342387240643,320.3925689697266,20.002808271748755
30,LuxuryShare,31.26090277158297,8.967619710422293,174.04615384615383,104.03439027059446,334.5547069842999,41.72612235757568
31,LuxurySpend,9.952076185666597,1.8127108005424715,164.0153846153846,69.67206334145997,251.5241208589994,25.914593396463335
32,MissingCount,3.6814694841702775,0.18435281761298175,20.3,3.617633581123541,82.58349482218425,13.706278540531974
33,NameMissing,2.984805969397227,0.6032751698418093,3.3833333333333333,1.123171915387467,237.79957536061605,83.62387859054286
34,RoomService,18.536084786583395,8.847052693175462,273.2823529411765,169.12659546658435,299.7527017032399,28.551682851380292
35,RoomServiceMissing,4.246878929932913,0.40179659700384024,9.216666666666667,2.2666889481970807,364.5278996785482,68.64329647900637
36,ShoppingMall,7.50076367855072,1.9604854079569305,108.88333333333333,26.081335483561052,216.0339195251465,23.408255039952845
37,ShoppingMallMissing,3.8373064597447715,0.5556677691387945,8.799999999999999,2.371037364070457,378.48568369547525,61.68491506454076
38,Side,11.601878772062415,1.9531208826165793,60.64705882352941,13.008752709573033,127.94862338795383,11.043215068999547
39,Spa,5.984637235192691,2.127530444167425,226.45882352941177,208.12566834374226,237.4244488884421,19.28346615898975
40,SpaMissing,3.705094301700592,0.6598105901781245,6.466666666666666,1.9037443169297776,394.30784123738607,55.56378676714229
41,SpendCount,116.27907143200144,84.64829639035143,56.42352941176471,45.356690926088355,356.4887244729435,120.72817296543302
42,SpendPerActiveCategory,11.37390038172404,7.043425611977507,115.06666666666666,18.616968473720824,178.0369684855143,27.15908835003255
43,SpendPerAge,6.221984163920085,1.8967139925407908,96.81666666666666,20.401151185581888,131.89766667683918,21.077033771867683
44,SpendPerGroupMember,11.735048498426165,8.374483430509212,140.75714285714284,104.34702984446963,159.93520017351423,26.632929501267782
45,SurnameFreq,3.8679241220156353,0.11439601395088715,102.28333333333332,19.683580297632165,143.14238452911377,9.992714327614905
46,TotalSpend,15.737435150146485,14.114619756319186,280.1411764705882,294.14744402005164,185.9316827213063,28.85700048849703
47,VIP,4.316930385069413,0.33351080586567466,11.10909090909091,2.69126533268444,269.02181632302023,29.143587028389124
48,VIPMissing,4.640407931804657,0.4800983379825352,5.8999999999999995,1.148912529307606,262.6622758865356,30.487788195084725
49,VRDeck,5.523628030103795,1.9973432538682199,210.43529411764706,203.3354769253772,209.4627134435317,29.965734784278496
50,VRDeckMissing,4.51173775990804,0.42428677106169244,12.766666666666666,3.9078785998947243,377.91070378621424,68.92599501403734
51,log1p_BasicSpend,8.24462513923645,1.5904676207956616,36.98461538461539,48.42633316275087,153.44638595581054,24.742323628628668
52,log1p_FoodCourt,9.731322463353475,2.104567584472022,44.81666666666666,15.244541993974783,215.73768781026206,22.054288845250237
53,log1p_LuxurySpend,9.265685257544884,1.5114985820602371,58.06153846153847,36.4356404834044,265.28980126014125,27.624797515674036
54,log1p_RoomService,16.972655122420367,8.232462753246978,109.04705882352941,64.70910018736795,307.6739189596737,32.6997607785223
55,log1p_ShoppingMall,7.287987271944682,2.741687849987055,39.38333333333333,10.350391589722879,208.5937177022298,37.71108441526426
56,log1p_Spa,6.14840412420385,2.007267268649918,88.49411764705883,82.87874026694239,231.928345265108,26.61851631307031
57,log1p_SpendPerActiveCategory,8.94458629290263,7.251258847657849,43.36666666666667,15.712839760314917,168.6126757303874,10.620684376504737
58,log1p_TotalSpend,10.479718261606552,4.626512864288057,116.2,122.6891804520676,182.396482220818,23.43328647954204
59,log1p_VRDeck,6.1214714527130125,2.665621070033186,85.38823529411764,86.01379164378918,212.1238038006951,33.105269555528345
