name,description,n_features,oof_acc_050,oof_acc_best,delta_vs_full_common,oof_best_threshold,oof_logloss,oof_auc,mean_best_iter,positive_rate_050,test_positive_rate_best,elapsed_seconds,source
blend_drop_cabinnum_w40_team_A7_blend_w60,OOF-selected probability blend: drop_cabinnum x 0.40 + team_A7_blend x 0.60,-1,0.8190498101921085,0.8204302312205223,0.005981824456459228,0.5100000000000001,0.3796621260163712,0.9051744554437625,,0.5202244563946692,0.5143792377834931,0.0,"blend(drop_cabinnum, team_A7_blend)"
team_A7_blend,Existing team probability artifact: A7_oof.csv + A7_test_proba.csv,-1,0.8180144944207983,0.8199700908777177,0.005521684113654612,0.4910000000000001,0.37845155619471194,0.905731464654993,,0.5223287350946926,0.5288753799392097,0.0,/Users/shenyijie/Desktop/MLWP project/01_本地副本_实验/reports/xgboost/logs/A7_oof.csv
blend_drop_cabinnum_w15_team_A6_ensemble_w85,OOF-selected probability blend: drop_cabinnum x 0.15 + team_A6_ensemble x 0.85,-1,0.8192798803635108,0.8193949154492121,0.004946508685149009,0.4980000000000001,0.37891036872272565,0.9054128220370787,,0.5171849427168577,0.5195230301613281,0.0,"blend(drop_cabinnum, team_A6_ensemble)"
blend_drop_homeplanetdestination_w15_team_A7_blend_w85,OOF-selected probability blend: drop_homeplanetdestination x 0.15 + team_A7_blend x 0.85,-1,0.8182445645922006,0.8191648452778098,0.004716438513746701,0.5050000000000001,0.3781410127108306,0.9058029005238983,,0.5213935001169043,0.5174187514613047,0.0,"blend(drop_homeplanetdestination, team_A7_blend)"
blend_drop_surname_w15_team_A7_blend_w85,OOF-selected probability blend: drop_surname x 0.15 + team_A7_blend x 0.85,-1,0.8183595996779017,0.8191648452778098,0.004716438513746701,0.5060000000000001,0.3782353186159558,0.9057906725241079,,0.5211596913724573,0.5155482815057283,0.0,"blend(drop_surname, team_A7_blend)"
blend_full_common_native_w20_team_A6_ensemble_w80,OOF-selected probability blend: full_common_native x 0.20 + team_A6_ensemble x 0.80,-1,0.8180144944207983,0.8191648452778098,0.004716438513746701,0.4910000000000001,0.3785705084295038,0.9055066229705357,,0.5169511339724105,0.5234977788169277,0.0,"blend(full_common_native, team_A6_ensemble)"
team_A6_ensemble,Existing team probability artifact: A6_oof.csv + A6_test_proba.csv,-1,0.8183595996779017,0.8189347751064074,0.004486368342344393,0.5040000000000001,0.3786038785947481,0.9055333287103378,,0.5167173252279635,0.513911620294599,0.0,/Users/shenyijie/Desktop/MLWP project/01_本地副本_实验/reports/xgboost/logs/A6_oof.csv
blend_drop_surname_w15_team_A6_ensemble_w85,OOF-selected probability blend: drop_surname x 0.15 + team_A6_ensemble x 0.85,-1,0.8178994593350972,0.8188197400207063,0.004371333256643295,0.4970000000000001,0.3785012237752929,0.9055698803720489,,0.5153144727612813,0.5188216039279869,0.0,"blend(drop_surname, team_A6_ensemble)"
blend_full_common_native_w15_team_A7_blend_w85,OOF-selected probability blend: full_common_native x 0.15 + team_A7_blend x 0.85,-1,0.8184746347636029,0.8187047049350051,0.0042562981709420855,0.4970000000000001,0.37827284396160216,0.9057650254855866,,0.5209258826280103,0.5232639700724807,0.0,"blend(full_common_native, team_A7_blend)"
blend_drop_homeplanetdestination_w15_team_A6_ensemble_w85,OOF-selected probability blend: drop_homeplanetdestination x 0.15 + team_A6_ensemble x 0.85,-1,0.8176693891636949,0.8184746347636029,0.004026227999539889,0.4940000000000001,0.3784275754049793,0.9055775294888008,,0.5171849427168577,0.5225625438391396,0.0,"blend(drop_homeplanetdestination, team_A6_ensemble)"
blend_drop_vip_w20_team_A7_blend_w80,OOF-selected probability blend: drop_vip x 0.20 + team_A7_blend x 0.80,-1,0.816864143563787,0.8183595996779017,0.003911192913838679,0.4880000000000001,0.3782130313076441,0.9057609759531885,,0.5216273088613514,0.5293429974281038,0.0,"blend(drop_vip, team_A7_blend)"
blend_drop_vip_w15_team_A6_ensemble_w85,OOF-selected probability blend: drop_vip x 0.15 + team_A6_ensemble x 0.85,-1,0.8183595996779017,0.8183595996779017,0.003911192913838679,0.5000000000000001,0.37851886608321406,0.9055311319051804,,0.5167173252279635,0.5167173252279635,0.0,"blend(drop_vip, team_A6_ensemble)"
drop_cabinnum,Drop raw CabinNum only,59,0.8161739330495801,0.8164040032209824,0.0019555964569193396,0.5010000000000001,0.38532981556296686,0.9024323397245364,290.8,0.5190554126724339,0.5171849427168577,2.495562999989488,team common bundle + native categorical XGBoost; dropped=['CabinNum']
drop_surname,Drop SurnameFreq,59,0.8139882664212584,0.8155987576210745,0.0011503508570114285,0.4770000000000001,0.3802939360058235,0.9046831386469902,303.4,0.5122749590834698,0.5344867898059388,2.6263884579966543,team common bundle + native categorical XGBoost; dropped=['SurnameFreq']
drop_vip,Drop VIP only,59,0.8126078453928448,0.8153686874496722,0.0009202806856091206,0.4900000000000001,0.3804422023242199,0.9044232010150828,290.2,0.5176525602057517,0.5258358662613982,2.461137083999347,team common bundle + native categorical XGBoost; dropped=['VIP']
drop_homeplanetdestination,Drop HomePlanetDestination interaction,59,0.8122627401357414,0.8146784769354654,0.0002300701714023079,0.45300000000000007,0.38033367761240605,0.9045483924415081,338.6,0.5211596913724573,0.5627776478840308,2.6728669589938363,team common bundle + native categorical XGBoost; dropped=['HomePlanetDestination']
full_common_native,Full team common feature view with model-side log/interactions,60,0.8139882664212584,0.814448406764063,0.0,0.5070000000000001,0.3808730360830045,0.9043634637953275,334.0,0.514145429039046,0.5090016366612111,2.7427010410028743,team common bundle + native categorical XGBoost; dropped=[]
drop_groupmemberno,Drop GroupMemberNo only,59,0.8137581962498562,0.814333371678362,-0.00011503508570109844,0.4850000000000001,0.38081726768935537,0.9043536972760144,310.0,0.513911620294599,0.5284077624503156,2.5760046250070445,team common bundle + native categorical XGBoost; dropped=['GroupMemberNo']
