feature,gain,weight,cover
IsZeroSpend,498.7924377441406,19.6,1200.789794921875
SpendCount,95.8552474975586,71.0,284.52655029296875
CryoSleep,33.853812789916994,128.8,463.2864990234375
Deck,18.060115242004393,198.2,182.70619201660156
LuxuryShare,17.79959144592285,345.4,219.24524536132813
log1p_RoomService,17.13267250061035,178.0,272.83770446777345
LuxuryMinusBasic,13.43836669921875,309.6,269.273828125
RoomService,13.427699279785156,347.0,237.3151885986328
te_HomePlanet,11.582789993286132,91.0,198.19774475097657
DeckSide,10.512938499450684,538.8,241.8078399658203
TotalSpend,10.21688232421875,329.2,135.7582778930664
HomePlanet,9.88194637298584,61.4,177.4473114013672
SpendPerActiveCategory,8.648770189285278,321.4,152.527880859375
te_Side,8.540598583221435,126.0,82.68842468261718
te_HomePlanetDestination,8.532919120788574,136.2,166.59109802246093
FoodCourt,8.257930278778076,241.0,154.895263671875
Side,7.3513038635253904,37.8,83.6545280456543
log1p_TotalSpend,7.091022872924805,134.8,119.89054870605469
te_Deck,7.087204837799073,90.6,97.50838623046874
LuxurySpend,6.998869705200195,330.2,243.54047546386718
te_DeckSide,6.8303522109985355,263.4,149.45058898925782
log1p_FoodCourt,6.585970020294189,110.8,152.25646362304687
SpendPerGroupMember,6.329610157012939,234.6,122.59515228271485
HomePlanetDestination,6.220246410369873,294.6,225.6737030029297
BasicSpend,5.7754966735839846,179.2,116.59511108398438
te_CabinNumBin,5.77058744430542,204.6,138.82701416015624
CabinNumBin,5.381797027587891,256.6,126.00419006347656
ShoppingMall,5.313072967529297,240.4,143.1097869873047
log1p_ShoppingMall,4.788002061843872,117.2,137.71438598632812
IsChild,4.351206111907959,7.4,99.79364700317383
Spa,4.048258686065674,227.4,145.7354309082031
Destination,3.9979269027709963,53.2,144.0283462524414
te_Destination,3.9386276245117187,72.4,102.66102600097656
AgeGroup,3.8695959568023683,212.6,136.07413177490236
CabinNum,3.8460567474365233,840.0,138.77769775390624
log1p_Spa,3.8440114498138427,97.4,158.69498291015626
VRDeck,3.7872716903686525,203.6,126.43834533691407
log1p_VRDeck,3.615860843658447,89.6,121.98978424072266
SpendPerAge,3.5815032958984374,293.4,101.54394836425782
te_AgeGroup,3.385775899887085,88.2,62.33430633544922
FoodCourtMissing,3.332614231109619,15.0,405.7483764648438
Age,3.241580009460449,550.0,147.71788635253907
VRDeckMissing,3.0917340755462646,21.4,480.5487365722656
GroupSize,2.706721544265747,176.4,122.87295989990234
ShoppingMallMissing,2.6396729946136475,15.8,427.8427429199219
VIPMissing,2.6263332843780516,10.0,318.7833251953125
SurnameFreq,2.6043839931488035,318.6,109.07856750488281
VIP,2.558015966415405,13.0,294.3074493408203
MissingCount,2.5348125457763673,51.6,57.45651092529297
CryoSleepMissing,2.502036142349243,18.2,488.1932861328125
RoomServiceMissing,2.4884006500244142,10.8,415.70411376953126
GroupMemberNo,2.4636638164520264,89.0,122.32062072753907
GroupMemberIsLeader,2.3640814781188966,15.6,88.56614112854004
IsSolo,2.305222988128662,16.0,32.954459762573244
SpaMissing,2.201501178741455,7.0,622.516162109375
AgeMissing,2.1257684230804443,6.4,415.2326995849609
IsMultiPassengerGroup,2.00427987575531,7.8,35.36384525299072
HasAnyLuxurySpend,1.8558203339576722,3.6,32.98447132110596
HomePlanetMissing,1.8040054559707641,3.8,327.0605499267578
NameMissing,1.7433088541030883,2.2,429.25356140136716
DestinationMissing,1.127440881729126,2.2,143.37289428710938
IsSenior,0.2842825174331665,0.6,115.74532470703124
AgeWasOutOfRange,0.0,0.0,0.0
CabinMissing,0.0,0.0,0.0
CryoSleepSpendAnomaly,0.0,0.0,0.0
