fold,acc,logloss,auc,best_iter,train_seconds,n_train,n_valid
0,0.7967000589275192,0.40632617246579045,0.8901511678627294,307,0.5543701660062652,6996,1697
1,0.8318129988597491,0.3598964902271952,0.9149846577907219,300,0.619583124993369,6939,1754
2,0.8241005139920046,0.3755456537775316,0.9087300964781552,310,0.5619101249903906,6942,1751
3,0.8259847148736038,0.3644423062287371,0.9123674129800446,340,0.6294707909983117,6992,1701
4,0.8067039106145252,0.3874706742260152,0.9006492022641537,407,0.6942718749924097,6903,1790
