fold,acc,logloss,auc,best_iter,train_seconds,n_train,n_valid
0,0.7919858573954036,0.40781903112040313,0.8886133731187364,259,0.6444476670003496,6996,1697
1,0.8318129988597491,0.3608852438434675,0.9143020594965676,297,0.7141069580102339,6939,1754
2,0.8218161050828098,0.37466125214200446,0.9089791356184799,213,0.5433445000089705,6942,1751
3,0.824808935920047,0.36265822684393,0.9136231002198835,377,0.7130163330002688,6992,1701
4,0.8044692737430168,0.38841281221299784,0.899913714413439,285,0.5683787079760805,6903,1790
