fold,fold_best_iterations,accuracy,auc,f1,precision,recall,logloss
1,812,0.8246118458884416,0.9123266506875771,0.8279751833051325,0.8182831661092531,0.8378995433789954,0.3639890423028084
2,557,0.80448533640023,0.8987821235257702,0.8083427282976324,0.7984409799554566,0.8184931506849316,0.39186568858288956
3,823,0.8228867165037378,0.9063609475282677,0.8267716535433071,0.8148558758314856,0.839041095890411,0.37906883440311384
4,810,0.8262370540851554,0.916179440489985,0.8312849162011173,0.8131147540983606,0.8502857142857143,0.3613212371145114
5,540,0.8164556962025317,0.8981612315841747,0.819468024900962,0.8116591928251121,0.8274285714285714,0.39456557775836343
