feature,gain,weight,cover
IsZeroSpend,486.1127014160156,8.2,1053.2891845703125
SpendCount,127.05226593017578,30.0,330.35642700195314
CryoSleep,35.60261344909668,64.6,484.7497924804687
LuxuryShare,26.196533584594725,163.8,313.7195617675781
log1p_RoomService,25.539901161193846,52.8,317.77837524414065
Deck,24.393032455444335,89.4,211.16126708984376
RoomService,22.514253616333008,189.8,311.42803955078125
TotalSpend,22.08913974761963,119.0,194.76222534179686
LuxuryMinusBasic,19.844477081298827,158.2,304.6634094238281
te_HomePlanet,17.758540534973143,39.4,199.87706909179687
HomePlanet,16.42790641784668,23.4,198.87771301269532
te_HomePlanetDestination,16.023371124267577,44.6,208.32555236816407
log1p_TotalSpend,14.9399019241333,41.6,160.25562133789063
te_Side,14.067147636413575,35.2,109.97890014648438
DeckSide,11.206919860839843,316.6,285.5958251953125
FoodCourt,10.990322685241699,109.2,227.10744934082032
SpendPerActiveCategory,10.74283571243286,116.6,170.32788696289063
te_CabinNumBin,10.375342178344727,69.2,221.93326416015626
te_Deck,10.169237327575683,33.0,109.83257446289062
LuxurySpend,9.780739212036133,154.0,276.2939117431641
te_DeckSide,9.454535484313965,95.4,163.66949768066405
HomePlanetDestination,8.455768871307374,167.4,266.1277282714844
Side,8.409903144836425,14.2,118.52487487792969
CabinNumBin,8.332545280456543,89.6,201.53177490234376
SpendPerAge,6.772204780578614,93.6,127.71947021484375
SpendPerGroupMember,6.635066509246826,87.6,148.02027130126953
ShoppingMall,6.346512126922607,104.2,227.03012390136718
CabinNum,6.069089031219482,304.6,205.4719451904297
log1p_ShoppingMall,5.723824882507325,34.2,190.94428405761718
te_Destination,5.686756324768067,18.8,155.3907257080078
AgeGroup,5.612006568908692,80.8,182.41588439941407
log1p_FoodCourt,5.596045589447021,32.8,181.46256561279296
IsChild,5.568090200424194,1.4,24.452082443237305
BasicSpend,5.536624526977539,58.0,136.67882690429687
Destination,5.348171710968018,17.4,146.69398651123046
log1p_Spa,5.318228721618652,35.8,246.22421569824218
Spa,5.302768421173096,92.2,253.41072998046874
te_AgeGroup,4.997728633880615,26.8,93.63178863525391
RoomServiceMissing,4.953280735015869,8.4,350.5809631347656
Age,4.884245872497559,212.6,217.82007446289063
VIPMissing,4.682365608215332,5.2,279.6921325683594
GroupSize,4.664472770690918,65.2,209.87510681152344
VIP,4.640767002105713,7.2,279.5470397949219
VRDeckMissing,4.62117862701416,13.2,385.1527526855469
log1p_VRDeck,4.571188735961914,27.8,215.5552536010742
VRDeck,4.564112806320191,88.0,205.6594451904297
HomePlanetMissing,4.564062166213989,3.8,347.173046875
SpaMissing,4.485472917556763,5.2,327.22923278808594
FoodCourtMissing,4.473262548446655,8.0,360.8743591308594
ShoppingMallMissing,4.221221303939819,9.6,400.9701416015625
SurnameFreq,3.933090019226074,103.8,165.9857391357422
MissingCount,3.8132211208343505,21.0,63.84504699707031
CryoSleepMissing,3.7980331897735597,10.4,395.68016357421874
GroupMemberNo,3.778488826751709,32.4,213.30453186035157
GroupMemberIsLeader,3.646974277496338,4.0,98.40310935974121
IsMultiPassengerGroup,3.321488285064697,2.0,12.168566226959229
IsSolo,3.269011974334717,3.2,49.31225814819336
AgeMissing,2.9429868698120116,4.0,335.0735107421875
DestinationMissing,2.474532222747803,2.4,320.6485565185547
HasAnyLuxurySpend,2.406067657470703,1.0,18.622385025024414
NameMissing,1.6147926807403565,1.0,324.1405395507812
IsSenior,1.4859895706176758,0.6,128.26655197143555
CabinMissing,0.4117715835571289,0.2,1.5397234916687013
AgeWasOutOfRange,0.0,0.0,0.0
CryoSleepSpendAnomaly,0.0,0.0,0.0
