fold,acc,logloss,auc,best_iter,train_seconds,n_train,n_valid
0,0.7908073070123748,0.41092491447309765,0.8867435702954176,289,0.3910056659951806,6996,1697
1,0.8323831242873432,0.3602341053234682,0.9144918868317037,302,0.3991372919990681,6939,1754
2,0.8229583095374072,0.3756385220457013,0.908749705859283,279,0.3770540840050671,6942,1751
3,0.8383303938859494,0.3628888309073828,0.9144915711302568,319,0.41013304199441336,6992,1701
4,0.8072625698324022,0.3891035525156014,0.9000785436091848,417,0.5110832920181565,6903,1790
