stage,te_mode,surname_rate,oof_acc,oof_logloss,oof_auc,mean_best_iter,elapsed,n_features
V2a,none,False,0.8161739330495801,0.37780762087420516,0.9060425904938153,333.8,4.015000957995653,57
V2b,loo,False,0.5064994823421144,0.6933010548138298,0.5067121396511686,0.4,1.7479297920071986,65
V2c,oof,False,0.8161739330495801,0.3772536252851324,0.9062597036589246,319.0,4.409726833982859,65
V2d,none,True,0.8137581962498562,0.38027991364725244,0.9045146992732545,299.2,3.706913290981902,58
V2e,loo,True,0.5059243069136087,0.6925087524418102,0.5430428504049797,1.2,1.6018007090024184,66
V2f,oof,True,0.811917634878638,0.38012958904141125,0.9042868138226157,291.4,4.65398912501405,66
