feature_name,importance
RoomService,7.279252402113684
LuxuryToBasicRatio,5.677807544474407
LuxuryShare,5.669546956578463
DeckSide,5.2095196792134635
LuxurySpend,5.081679770486226
CryoSleep,4.558291860402739
Age,4.301616331079349
HomePlanet,4.140704337432207
Surname,3.668140446277085
DeckCabinBin,3.634457218799183
FoodCourt,3.46202065533096
Deck,3.3149763996169597
CabinNumLog1p,3.1898172006400056
CabinNum,3.045233498969465
Side,2.985935771104762
DeckDestination,2.982832395191927
ShoppingMall,2.520107119837033
SpendPerActiveCategory,2.304935280781622
TotalSpend,2.299951301620429
HomePlanetDestination,2.1848792993574624
CabinNumBin,2.1676630869669022
AgeGroup,1.8734456255111605
SpendMax,1.7455432140985518
SpendPerGroupMember,1.7375623343901845
BasicSpend,1.5029170174057636
SurnameFreqBin,1.4680582327428764
Spa,1.371043973295085
Destination,1.3139006133550932
SpendStd,1.2984536556616821
VRDeck,1.0671986300445278
GroupMemberRatio,1.0370701877105828
SurnameFreq,0.8889788233835909
SpendNonZeroRatio,0.8182513881851988
GroupSize,0.48589059379243604
VRDeckMissing,0.46345156785186464
CryoSleepMissing,0.43437656246717354
VIP,0.42738532672093266
SpendCount,0.345717792346645
GroupMemberNo,0.3186983404517419
ShoppingMallMissing,0.2397180846429974
FoodCourtMissing,0.23680594904691984
RoomServiceMissing,0.21607269680648752
SpaMissing,0.19991929786090631
AgeMissing,0.1062269154524066
IsZeroSpend,0.10503291264195556
VIPMissing,0.09893800564912403
IsFirstGroupMember,0.09291787829862748
IsRareSurname,0.0809201595792456
IsMultiPassengerGroup,0.07187025592407274
GroupMemberIsLeader,0.06431892216742037
IsFrequentSurname,0.05944726503682738
IsChild,0.05826299513301262
HomePlanetMissing,0.052986850351465796
IsSolo,0.01937576269429045
IsLastGroupMember,0.013714892977859508
HasAnyLuxurySpend,0.003874892382544012
DestinationMissing,0.001488279379743415
IsSenior,0.0007955482848899401
AgeWasOutOfRange,0.0
CabinNumIsMissing,0.0
NameMissing,0.0
CabinMissing,0.0
