feature,gain,weight,cover
num__IsZeroSpend,780.5497741699219,4.6,1400.5121337890625
num__SpendCount,153.98605041503907,58.4,473.2066223144531
cat__HomePlanet_Earth,40.204368591308594,58.8,314.2113891601563
cat__CryoSleep_False,32.38851680755615,51.8,365.7635009765625
cat__CryoSleep_True,27.48726119995117,43.8,479.6671569824219
cat__HomePlanet_Europa,18.852491760253905,47.6,358.16259765625
num__RoomService,17.158446884155275,273.6,301.8309387207031
num__LuxuryShare,16.71543960571289,273.0,238.80755920410155
cat__Deck_E,15.805209922790528,76.0,178.30303955078125
cat__Deck_G,12.314170455932617,52.2,235.5207305908203
cat__HomePlanetDestination_Earth_TRAPPIST-1e,11.879245185852051,40.2,184.7522705078125
num__TotalSpend,10.052524375915528,251.8,144.49144592285157
cat__HomePlanetDestination_Mars_TRAPPIST-1e,9.854907512664795,42.0,118.10487060546875
cat__Deck_F,9.274186897277833,46.0,149.4175231933594
num__LuxurySpend,9.011521148681641,264.0,265.502294921875
cat__HomePlanetDestination_Earth_PSO J318.5-22,8.417408323287964,8.0,166.3056182861328
cat__CabinNumBin_CabinBin_4,8.411717414855957,110.4,208.3884246826172
cat__Side_P,8.31946258544922,112.4,102.84771881103515
num__FoodCourt,7.733421421051025,218.0,189.7473358154297
num__BasicSpend,7.382790565490723,178.6,176.74813232421874
cat__DeckSide_C_S,7.006832313537598,98.2,324.3594604492188
cat__Side_S,6.910887145996094,66.8,110.58514251708985
cat__HomePlanet_Mars,6.852897453308105,34.2,85.58862686157227
cat__Deck_B,6.319152593612671,9.6,147.49555358886718
cat__HomePlanetDestination_Europa_55 Cancri e,6.060606479644775,14.2,546.606103515625
cat__DeckSide_G_P,5.955510807037354,33.2,189.1269515991211
cat__HomePlanetDestination_Europa_TRAPPIST-1e,5.722415351867676,10.2,125.18751220703125
cat__DeckSide_E_P,5.559600448608398,21.2,166.5825424194336
cat__DeckSide_G_S,5.5267256736755375,42.4,148.34869995117188
num__SpendPerActiveCategory,5.521582984924317,248.6,158.193408203125
cat__AgeGroup_Child,5.479049348831177,8.6,95.44355545043945
num__ShoppingMall,5.1969483375549315,196.6,169.20777130126953
cat__Destination_TRAPPIST-1e,4.9067892074584964,58.6,140.2651351928711
cat__DeckSide_B_S,4.832443809509277,44.8,588.0597045898437
num__IsChild,4.708901977539062,8.4,94.64338836669921
cat__DeckSide_E_S,4.60144739151001,7.8,126.93710632324219
cat__Deck_C,4.412916946411133,17.8,253.70958709716797
cat__AgeGroup_Teen,4.176851224899292,34.2,176.42798767089843
cat__HomePlanetDestination_Earth_55 Cancri e,3.935228729248047,15.0,131.07402801513672
num__CabinNum,3.893937349319458,582.4,139.16901550292968
cat__Destination_PSO J318.5-22,3.8169254302978515,14.2,109.68509063720703
cat__DeckSide_F_P,3.7882540225982666,25.8,79.99486770629883
num__Spa,3.7504734992980957,172.8,187.48849487304688
num__FoodCourtMissing,3.494005632400513,10.4,454.82123413085935
cat__CabinNumBin_CabinBin_3,3.4764840602874756,25.2,68.65892486572265
num__HasAnyLuxurySpend,3.44294159412384,2.4,76.56570091247559
cat__CabinNumBin_CabinBin_5,3.417004632949829,11.6,76.91026611328125
num__Age,3.269188165664673,412.0,150.18904724121094
cat__HomePlanetDestination_Unknown_TRAPPIST-1e,3.2282855987548826,1.0,133.07053833007814
num__VRDeck,3.1683016777038575,155.8,149.24185943603516
cat__Destination_55 Cancri e,3.147764730453491,31.0,307.6336639404297
cat__DeckSide_F_S,3.100185489654541,11.8,118.19455642700196
cat__DeckSide_D_S,3.0020623207092285,3.8,383.96022338867186
cat__AgeGroup_MiddleAge,2.9750336170196534,13.8,93.98799438476563
cat__Deck_D,2.849387001991272,7.8,331.5381561279297
cat__Deck_A,2.81139554977417,22.6,100.88113174438476
cat__CabinNumBin_CabinBin_2,2.759791707992554,49.6,112.85254516601563
num__VRDeckMissing,2.7120903015136717,11.4,607.8273071289062
cat__AgeGroup_YoungAdult,2.707720899581909,38.8,73.5936508178711
num__RoomServiceMissing,2.6981396436691285,7.8,426.8505401611328
cat__HomePlanet_Unknown,2.6894652128219603,8.0,169.0367218017578
cat__AgeGroup_Adult,2.668501591682434,24.4,63.18840637207031
num__GroupSize,2.6310938358306886,121.2,104.24332885742187
num__VIPMissing,2.61546847820282,7.0,324.53638610839846
num__CryoSleepMissing,2.614329719543457,9.4,505.443212890625
num__ShoppingMallMissing,2.6004428386688234,12.0,512.5841003417969
cat__DeckSide_B_P,2.492083120346069,9.8,144.8733222961426
num__SurnameFreq,2.41864652633667,197.8,92.37234725952149
cat__CabinNumBin_CabinBin_1,2.4160162687301634,10.4,66.4132682800293
cat__DeckSide_C_P,2.4142066478729247,2.6,27.206771087646484
num__IsMultiPassengerGroup,2.4124072790145874,5.0,42.80115032196045
cat__DeckSide_D_P,2.3460830450057983,6.6,164.50044937133788
cat__VIP_Unknown,2.3453271627426147,3.6,432.30409545898436
num__GroupMemberNo,2.338269519805908,59.0,108.54438629150391
num__GroupMemberIsLeader,2.326553153991699,7.8,90.39226417541504
num__CabinMissing,2.3156131863594056,2.0,125.92282104492188
num__HomePlanetMissing,2.229183554649353,7.6,226.61788482666014
num__SpaMissing,2.1773797035217286,4.0,577.9192687988282
cat__VIP_False,2.125651216506958,4.8,139.4268585205078
num__IsSolo,2.1103588104248048,11.2,37.650363540649415
cat__DeckSide_A_P,1.838486337661743,1.4,132.98389053344727
num__DestinationMissing,1.7372308731079102,3.4,275.7971557617187
cat__VIP_True,1.6110765218734742,2.6,218.99615478515625
cat__DeckSide_A_S,1.5687320947647094,4.6,231.99484100341797
cat__Deck_Unknown,1.4124399423599243,1.0,113.03312530517579
num__IsSenior,1.311268925666809,1.4,263.0527938842773
cat__Destination_Unknown,1.2407937526702881,0.6,235.17327728271485
cat__HomePlanetDestination_Mars_55 Cancri e,1.1745622158050537,1.8,132.1092956542969
num__AgeMissing,0.7556651115417481,2.2,233.64776611328125
cat__HomePlanetDestination_Earth_Unknown,0.41800928115844727,0.2,83.95687866210938
num__NameMissing,0.40289554595947263,0.2,32.42123107910156
cat__HomePlanetDestination_Unknown_55 Cancri e,0.0,0.0,0.0
cat__HomePlanetDestination_Unknown_PSO J318.5-22,0.0,0.0,0.0
cat__HomePlanetDestination_Mars_Unknown,0.0,0.0,0.0
cat__Deck_T,0.0,0.0,0.0
cat__HomePlanetDestination_Mars_PSO J318.5-22,0.0,0.0,0.0
cat__HomePlanetDestination_Europa_Unknown,0.0,0.0,0.0
cat__CryoSleep_Unknown,0.0,0.0,0.0
cat__HomePlanetDestination_Europa_PSO J318.5-22,0.0,0.0,0.0
num__AgeWasOutOfRange,0.0,0.0,0.0
cat__DeckSide_Unknown_Unknown,0.0,0.0,0.0
cat__DeckSide_T_S,0.0,0.0,0.0
cat__DeckSide_T_P,0.0,0.0,0.0
cat__AgeGroup_Senior,0.0,0.0,0.0
cat__CabinNumBin_CabinBin_Missing,0.0,0.0,0.0
cat__Side_Unknown,0.0,0.0,0.0
cat__HomePlanetDestination_Unknown_Unknown,0.0,0.0,0.0
