fold,acc,logloss,auc,best_iter,train_seconds,n_train,n_valid
0,0.7919858573954036,0.40729108864998276,0.8896246780632955,235,0.46359170801588334,6996,1697
1,0.8261117445838084,0.3628534056675381,0.9134426357395464,218,0.4429557080147788,6939,1754
2,0.816105082809823,0.3745451988818061,0.9091144403482626,149,0.37054050000733696,6942,1751
3,0.823045267489712,0.363560340554719,0.9134391724633872,178,0.4054949580167886,6992,1701
4,0.7938547486033519,0.3914849652921899,0.8976229632043795,183,0.41916333299013786,6903,1790
