fold,acc,logloss,auc,best_iter,train_seconds,n_train,n_valid
0,0.7961107837360047,0.4073749253698776,0.8898788934545788,350,0.5844984999857843,6996,1697
1,0.8323831242873432,0.3585011202054785,0.9156074474724359,316,0.5514672079880256,6939,1754
2,0.8172472872644203,0.37703046322160133,0.9080947525296101,244,0.47205037498497404,6942,1751
3,0.8242210464432687,0.36305067260202023,0.9133548146201822,438,0.7001417499850504,6992,1701
4,0.8016759776536313,0.3861613722306619,0.9008358838153963,399,0.6528822079999372,6903,1790
